物品ID,数量范围,拥有这个类型战利品的战利品表,其他信息
minecraft:fermented_spider_eye,"1~4, 2~3, 2~4","dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/illager_windmill/illager_windmill_barrels",
minecraft:fire_charge,2~3,"dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal",
minecraft:firework_rocket,1~16,dungeons_arise:chests/illager_fort/illager_fort_barrels,自定义NBT
minecraft:fishing_rod,1,dungeons_arise:chests/fishing_hut/fishing_hut_barrels,等级附魔
minecraft:flint,"1, 1~48, 1~6, 3~6","dungeons_arise:chests/illager_corsair/illager_corsair_barrels
dungeons_arise:chests/illager_galley/illager_galley_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_barrels
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels",
minecraft:flint_and_steel,1,"dungeons_arise:chests/illager_corsair/illager_corsair_barrels
dungeons_arise:chests/illager_galley/illager_galley_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_barrels
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels",
minecraft:glass_bottle,"1~2, 1~4, 2~3","dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal
dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/keep_kayra/keep_kayra_garden_normal
dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_library_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_supply
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply",
minecraft:glistering_melon_slice,"12~16, 2~3, 2~4, 4~12","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/bathhouse/bathhouse_barrels
dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_normal",
minecraft:glow_berries,2~6,"dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal",
minecraft:glow_lichen,2~3,"dungeons_arise:chests/keep_kayra/keep_kayra_garden_normal
dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure",
minecraft:glowstone_dust,"1, 1~3, 1~4, 1~5, 2~6, 4~6, 4~8","dungeons_arise:chests/foundry/foundry_chains
dungeons_arise:chests/foundry/foundry_normal
dungeons_arise:chests/foundry/foundry_passage_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure",
minecraft:gold_block,"1, 1~2, 1~3, 2~8, 3","dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/illager_fort/illager_fort_treasure
dungeons_arise:chests/infested_temple/infested_temple_top_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_treasure
dungeons_arise:chests/scorched_mines/scorched_mines_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_towers",
minecraft:gold_ingot,"1, 12~16, 12~48, 16~32, 18~24, 1~10, 1~12, 1~16, 1~2, 1~3, 1~4, 1~5, 1~8, 24~32, 24~48, 2~12, 2~3, 2~6, 2~8, 3~12, 3~5, 4~12, 4~14, 4~16, 4~24, 4~48, 4~50, 4~6, 4~8, 5~10, 5~16, 6~12, 6~18, 6~24, 6~8, 8~10, 8~12, 8~16","dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance
dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/aviary/aviary_normal
dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_supply
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_supply
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/foundry/foundry_passage_exterior
dungeons_arise:chests/foundry/foundry_treasure
dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_treasure
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_treasure
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/heavenly_rider/heavenly_rider_treasure
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_fort/illager_fort_normal
dungeons_arise:chests/illager_fort/illager_fort_treasure
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_garden_normal
dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_library_normal
dungeons_arise:chests/keep_kayra/keep_kayra_library_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/keep_kayra/keep_kayra_treasure
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal
dungeons_arise:chests/mechanical_nest/mechanical_nest_supply
dungeons_arise:chests/mechanical_nest/mechanical_nest_treasure
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/mushroom_house/mushroom_house_normal
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/plague_asylum/plague_asylum_potions
dungeons_arise:chests/plague_asylum/plague_asylum_treasure
dungeons_arise:chests/scorched_mines/scorched_mines_barrels
dungeons_arise:chests/scorched_mines/scorched_mines_housing
dungeons_arise:chests/scorched_mines/scorched_mines_hub
dungeons_arise:chests/scorched_mines/scorched_mines_normal
dungeons_arise:chests/scorched_mines/scorched_mines_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/shiraz_palace/shiraz_palace_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_rooms
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply
dungeons_arise:chests/shiraz_palace/shiraz_palace_towers
dungeons_arise:chests/shiraz_palace/shiraz_palace_treasure
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/small_prairie_house/small_prairie_house_normal
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper",
minecraft:gold_nugget,"16~24, 16~48, 24~32, 2~3, 32~48, 32~64, 4~12, 8~48, 8~64","dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_supply
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_supply
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/foundry/foundry_chains
dungeons_arise:chests/foundry/foundry_passage_exterior
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal
dungeons_arise:chests/heavenly_rider/heavenly_rider_treasure
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_normal
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_treasure
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_treasure
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_treasure
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_lower
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper",
minecraft:gold_ore,"12~24, 1~4, 1~8, 3~12, 4~16, 4~32","dungeons_arise:chests/foundry/foundry_chains
dungeons_arise:chests/foundry/foundry_lava_pit
dungeons_arise:chests/foundry/foundry_normal
dungeons_arise:chests/foundry/foundry_passage_normal
dungeons_arise:chests/mines_treasure_small
dungeons_arise:chests/mining_system/mining_system_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_ores
dungeons_arise:chests/mushroom_mines/mushroom_mines_tools
dungeons_arise:chests/mushroom_village/mushroom_village_barrels",
minecraft:golden_apple,"1, 1~2, 1~3, 1~4, 2~14, 4~6, 4~8","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/aviary/aviary_normal
dungeons_arise:chests/aviary/aviary_treasure
dungeons_arise:chests/bandit_towers/bandit_towers_supply
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_treasure
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_normal
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_treasure
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/heavenly_rider/heavenly_rider_treasure
dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/infested_temple/infested_temple_top_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_supply
dungeons_arise:chests/mechanical_nest/mechanical_nest_treasure
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_house/mushroom_house_normal
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_potions
dungeons_arise:chests/scorched_mines/scorched_mines_barrels
dungeons_arise:chests/scorched_mines/scorched_mines_housing
dungeons_arise:chests/scorched_mines/scorched_mines_normal
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_normal
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:golden_boots,1,dungeons_arise:chests/illager_campsite/illager_campsite_tent,等级附魔
minecraft:golden_carrot,"1, 12~16, 12~24, 1~3, 1~4, 2~8, 3~6, 4~8","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/aviary/aviary_normal
dungeons_arise:chests/aviary/aviary_treasure
dungeons_arise:chests/bandit_towers/bandit_towers_supply
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_normal
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_treasure
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/heavenly_rider/heavenly_rider_treasure
dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/infested_temple/infested_temple_top_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_supply
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_potions
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:golden_helmet,1,dungeons_arise:chests/greenwood_pub/greenwood_pub_normal,
minecraft:golden_leggings,1,"dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment","等级附魔
随机附魔"
minecraft:golden_pickaxe,1,"dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure",等级附魔
minecraft:golden_shovel,1,dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment,等级附魔
minecraft:granite,1~2,dungeons_arise:chests/foundry/foundry_chains,
minecraft:gunpowder,"1, 1~32, 1~6, 1~8, 4~32, 4~8, 8~12","dungeons_arise:chests/illager_corsair/illager_corsair_barrels
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/illager_fort/illager_fort_treasure
dungeons_arise:chests/illager_galley/illager_galley_barrels
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_normal
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_treasure
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_treasure
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_treasure
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_lower
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_treasure",
minecraft:hay_block,1~2,dungeons_arise:chests/illager_windmill/illager_windmill_treasure,
minecraft:honey_bottle,"1~8, 3~6, 8~16","dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:honeycomb,"16~32, 1~8, 4~16","dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:iron_axe,1,"dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/illager_fort/illager_fort_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment",
minecraft:iron_bars,"1~2, 1~6","dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells",
minecraft:iron_boots,1,"dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/illager_fort/illager_fort_normal
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper",等级附魔
minecraft:iron_chestplate,1,"dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/illager_fort/illager_fort_normal
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_treasure
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_treasure
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_lower
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper",等级附魔
